,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
83,False,/kaoTwHrJDmCPDLriN68pjlgx4R.jpg,"[10402, 18, 36]",614934,en,Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",77.664,/qBOKWqAFbveZ4ryjJJwbie6tXkQ.jpg,2022-06-22,Elvis,False,7.8,1900
84,False,/5PnypKiSj2efSPqThNjTXz8jwOg.jpg,"[14, 28]",759175,en,The Princess,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",111.149,/9pCoqX24a6rE981fY1O3PmhiwrB.jpg,2022-06-16,The Princess,False,6.9,601
85,False,/hwUxHPkuUleJeoick4uZsrKDXxF.jpg,"[16, 28, 12, 10751, 878]",718789,en,Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,149.914,/ox4goZd956BxqJH6iLwhWPL9ct4.jpg,2022-06-15,Lightyear,False,7.2,2447
86,False,/ulkWS7Atv0vv33KVCSAmNizAmJd.jpg,"[878, 53]",615469,en,Spiderhead,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,76.108,/5hTK0J9SGPLSTFwcbU0ELlJsnAY.jpg,2022-06-15,Spiderhead,False,5.8,1097
87,False,/6oTOE1huLKZGuvOh2OM9bsU8eCE.jpg,[99],979163,en,Beyond Infinity: Buzz and the Journey to Lightyear,"Explore the evolution of Buzz Lightyear from toy to human in the making of Pixar’s Lightyear. Dive into the origin and cultural impact of everyone’s favorite Space Ranger, the art of designing a new “human Buzz,” and the challenges faced by the Lightyear crew along the way.",31.643,/mnp0INIjyWt4AziWmTHgPk9IFoE.jpg,2022-06-10,Beyond Infinity: Buzz and the Journey to Lightyear,False,7.0,208
88,False,/2cQMVHBaP1wK0UBX5SGDahB3lp3.jpg,"[9648, 53, 27]",807356,en,Watcher,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",221.867,/t6UCz7syPrlJ2LQQBFLWiF37f19.jpg,2022-06-03,Watcher,False,6.5,384
89,False,/hGr0FrLI74vqpBWTBOPloDBwOAK.jpg,"[18, 35]",705861,en,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",65.405,/xWic7kPq13oRxYjbGLApXCnc7pz.jpg,2022-06-03,Hustle,False,7.9,1817
90,False,/3PieOs1t6dPHWlgvX3XoqTIQLqN.jpg,"[12, 28, 878]",507086,en,Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",410.249,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022-06-01,Jurassic World Dominion,False,7.0,4011
91,False,/i2tcQ9nDJpdJELPA82eCd7Irasd.jpg,"[28, 53, 12]",831946,en,Interceptor,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,48.583,/cpWUtkcgRKeauhTyVMjYHxAutp4.jpg,2022-05-26,Interceptor,False,6.2,559
92,False,/sqdsuvy8X6Maila4IAc7deMtPAA.jpg,"[18, 27, 878]",819876,en,Crimes of the Future,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",32.476,/qZNBXKP7Zd2tvrgHLl0WQ7zXyrE.jpg,2022-05-25,Crimes of the Future,False,6.3,584
